title,genre,platform,developer,publisher,fn_userscore_type,fn_userscore,fn_metascore_type,fn_metascore
Far Cry 6,"Action Adventure, Open-World",Stadia,Ubisoft Toronto,Ubisoft,Generally unfavorable reviews,4.4,No score yet,nan
Riders Republic,"Sports, Individual, Other",Stadia,Ubisoft,Ubisoft,Mixed or average reviews,5.3,No score yet,nan
Chorus,"Simulation, Space, Combat",Stadia,Fishlabs,Deep Silver,Mixed or average reviews,6.8,No score yet,nan
My Friend Peppa Pig,"Adventure, General",Stadia,PETOONS STUDIO SL,Outright Games,Universal acclaim,9.0,No score yet,nan
Wavetale,"Action Adventure, General",Stadia,Zoink Games,Thunderful,Universal acclaim,9.1,No score yet,nan
Garena Free Fire MAX,"Action, Shooter, Third-Person, Tactical",iOS,GARENA INTERNATIONAL I PRIVATE LIMITED,GARENA INTERNATIONAL I PRIVATE LIMITED,Overwhelming dislike,0.0,No score yet,nan
Marvel's Guardians of the Galaxy,"Role-Playing, Action RPG, Action Adventure, Linear",PlayStation 5,Eidos Montreal,Square Enix,Generally favorable reviews,8.7,Generally favorable reviews,80
Oddworld: Soulstorm Enhanced Edition,"Action Adventure, General",Xbox Series X,Oddworld Inhabitants,Oddworld Inhabitants,Universal acclaim,9.6,Generally favorable reviews,83
eFootball 2022,"Sports, Team, Soccer, Sim",iOS,Konami,Konami,Overwhelming dislike,0.1,No score yet,nan
Final Fantasy VII The First Soldier,"Action, Shooter, Third-Person, Tactical",iOS,Square Enix,Square Enix,Generally unfavorable reviews,3.9,Mixed or average reviews,60
Pokemon UNITE,"Role-Playing, Strategy, Real-Time, Trainer, MOBA",iOS,Tencent,The Pokemon Company,Generally unfavorable reviews,3.9,No score yet,nan
Final Fantasy XIV: Endwalker,"Role-Playing, Massively Multiplayer",PC,Square Enix,Square Enix,Universal acclaim,9.5,No score yet,nan
Death's Gambit: Afterlife,"Role-Playing, Action RPG",PC,White Rabbit Interactive,Serenity Forge,Generally favorable reviews,8.7,Generally favorable reviews,82
Final Fantasy V Pixel Remaster,"Role-Playing, Japanese-Style",PC,Square Enix,Square Enix,Generally favorable reviews,8.8,Generally favorable reviews,82
Poppy Playtime,"Action Adventure, Survival",PC,MOB Games,MOB Games,Mixed or average reviews,7.0,No score yet,nan
Potion Craft,"Strategy, General",PC,niceplay games,niceplay games,Generally favorable reviews,8.0,No score yet,nan
Wytchwood,"Adventure, General",PC,Alientrap,Alientrap,Generally favorable reviews,8.0,No score yet,nan
Happy Game,"Adventure, General",PC,Amanita Design,Amanita Design,Generally favorable reviews,8.0,Generally favorable reviews,79
Dungeon Encounters,"Role-Playing, Japanese-Style",PC,Square Enix,Square Enix,Mixed or average reviews,7.0,No score yet,nan
Gamedec,"Action Adventure, Open-World, Role-Playing, General",PC,Anshar Studios,Anshar Studios,Mixed or average reviews,7.0,Mixed or average reviews,72
UnMetal,"Action Adventure, General",PC,@unepic_fran,@unepic_fran,Generally favorable reviews,8.1,Generally favorable reviews,82
Gloomhaven,"Strategy, Miscellaneous, Turn-Based, Board / Card Game, Tactics",PC,Flaming Fowl Studios,Asmodee,Generally favorable reviews,8.1,Generally favorable reviews,79
NEO: The World Ends With You,"Role-Playing, Action RPG",PC,Square Enix,Square Enix,Mixed or average reviews,6.3,Generally favorable reviews,85
Jurassic World Evolution 2,"Strategy, Management, Business / Tycoon",PC,Frontier Developments,Frontier Developments,Mixed or average reviews,6.4,Generally favorable reviews,77
Riders Republic,"Sports, Individual, Other",PC,Ubisoft,Ubisoft,Mixed or average reviews,6.5,Generally favorable reviews,78
Solar Ash,"Action Adventure, General",PC,Heart Machine,Annapurna Interactive,Mixed or average reviews,6.5,Generally favorable reviews,78
Super Monkey Ball: Banana Mania,"Miscellaneous, Compilation",PC,Sega,Sega,Mixed or average reviews,6.5,No score yet,nan
